ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
SM 001,7.4,0.7,0.0,1.9,0.076,11.0,34,0.9978,3.51,0.56,9.4,5
SM 002,7.8,0.88,0.0,2.6,0.098,25.0,67,0.9968,3.2,0.68,9.8,5
SM 003,7.8,0.76,0.04,2.3,0.092,15.0,54,0.997,3.26,0.65,9.8,5
SM 004,11.2,0.28,0.56,1.9,0.075,17.0,60,0.998,3.16,0.58,9.8,6
SM 005,7.4,0.7,0.0,1.9,0.076,11.0,34,0.9978,3.51,0.56,9.4,5
SM 006,7.4,0.66,0.0,1.8,0.075,13.0,40,0.9978,3.51,0.56,9.4,5
SM 007,7.9,0.6,0.06,1.6,0.069,15.0,59,0.9964,3.3,0.46,9.4,5
SM 008,7.3,0.65,0.0,1.2,0.065,15.0,21,0.9946,3.39,0.47,10.0,7
SM 009,7.8,0.58,0.02,2.0,0.073,9.0,18,0.9968,3.36,0.57,9.5,7
SM 010,7.5,0.5,0.36,6.1,0.071,17.0,102,0.9978,3.35,0.8,10.5,5
SM 011,6.7,0.58,0.08,1.8,0.0969999999999999,15.0,65,0.9959,3.28,0.54,9.2,5
SM 012,7.5,0.5,0.36,6.1,0.071,17.0,102,0.9978,3.35,0.8,10.5,5
SM 013,5.6,0.615,0.0,1.6,0.089,16.0,59,0.9943,3.58,0.52,9.9,5
SM 014,7.8,0.61,0.29,1.6,0.114,9.0,29,0.9974,3.26,1.56,9.1,5
SM 015,8.9,0.62,0.18,3.8,0.176,52.0,145,0.9986,3.16,0.88,9.2,5
SM 016,8.9,0.62,0.19,3.9,0.17,51.0,148,0.9986,3.17,0.93,9.2,5
SM 017,8.5,0.28,0.56,1.8,0.092,35.0,103,0.9969,3.3,0.75,10.5,7
SM 018,8.1,0.56,0.28,1.7,0.368,16.0,56,0.9968,3.11,1.28,9.3,5
SM 019,7.4,0.59,0.08,4.4,0.086,6.0,29,0.9974,3.38,0.5,9.0,4
SM 020,7.9,0.32,0.51,1.8,0.341,17.0,56,0.9969,3.04,1.08,9.2,6
SM 021,8.9,0.22,0.48,1.8,0.077,29.0,60,0.9968,3.39,0.53,9.4,6
SM 022,7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71,0.9982,3.52,0.65,9.7,5
SM 023,7.9,0.43,0.21,1.6,0.106,10.0,37,0.9966,3.17,0.91,9.5,5
SM 024,8.5,0.49,0.11,2.3,0.084,9.0,67,0.9968,3.17,0.53,9.4,5
SM 025,6.9,0.4,0.14,2.4,0.085,21.0,40,0.9968,3.43,0.63,9.7,6
SM 026,6.3,0.39,0.16,1.4,0.08,11.0,23,0.9955,3.34,0.56,9.3,5
SM 027,7.6,0.41,0.24,1.8,0.08,4.0,11,0.9962,3.28,0.59,9.5,5
SM 028,7.9,0.43,0.21,1.6,0.106,10.0,37,0.9966,3.17,0.91,9.5,5
SM 029,7.1,0.71,0.0,1.9,0.08,14.0,35,0.9972,3.47,0.55,9.4,5
SM 030,7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16,0.9964,3.38,0.59,9.8,6
SM 031,6.7,0.675,0.07,2.4,0.089,17.0,82,0.9958,3.35,0.54,10.1,5
SM 032,6.9,0.685,0.0,2.5,0.105,22.0,37,0.9966,3.46,0.57,10.6,6
SM 033,8.3,0.655,0.12,2.3,0.083,15.0,113,0.9966,3.17,0.66,9.8,5
SM 034,6.9,0.605,0.12,10.7,0.073,40.0,83,0.9993,3.45,0.52,9.4,6
SM 035,5.2,0.32,0.25,1.8,0.103,13.0,50,0.9957,3.38,0.55,9.2,5
SM 036,7.8,0.645,0.0,5.5,0.086,5.0,18,0.9986,3.4,0.55,9.6,6
SM 037,7.8,0.6,0.14,2.4,0.086,3.0,15,0.9975,3.42,0.6,10.8,6
SM 038,8.1,0.38,0.28,2.1,0.066,13.0,30,0.9968,3.23,0.73,9.7,7
SM 039,5.7,1.13,0.09,1.5,0.172,7.0,19,0.994,3.5,0.48,9.8,4
SM 040,7.3,0.45,0.36,5.9,0.074,12.0,87,0.9978,3.33,0.83,10.5,5
SM 041,7.3,0.45,0.36,5.9,0.074,12.0,87,0.9978,3.33,0.83,10.5,5
SM 042,8.8,0.61,0.3,2.8,0.088,17.0,46,0.9976,3.26,0.51,9.3,4
SM 043,7.5,0.49,0.2,2.6,0.332,8.0,14,0.9968,3.21,0.9,10.5,6
SM 044,8.1,0.66,0.22,2.2,0.069,9.0,23,0.9968,3.3,1.2,10.3,5
SM 045,6.8,0.67,0.02,1.8,0.05,5.0,11,0.9962,3.48,0.52,9.5,5
SM 046,4.6,0.52,0.15,2.1,0.054,8.0,65,0.9934,3.9,0.56,13.1,4
SM 047,7.7,0.935,0.43,2.2,0.114,22.0,114,0.997,3.25,0.73,9.2,5
SM 048,8.7,0.29,0.52,1.6,0.113,12.0,37,0.9969,3.25,0.58,9.5,5
SM 049,6.4,0.4,0.23,1.6,0.066,5.0,12,0.9958,3.34,0.56,9.2,5
SM 050,5.6,0.31,0.37,1.4,0.074,12.0,96,0.9954,3.32,0.58,9.2,5
SM 051,8.8,0.66,0.26,1.7,0.074,4.0,23,0.9971,3.15,0.74,9.2,5
SM 052,6.6,0.52,0.04,2.2,0.069,8.0,15,0.9956,3.4,0.63,9.4,6
SM 053,6.6,0.5,0.04,2.1,0.068,6.0,14,0.9955,3.39,0.64,9.4,6
SM 054,8.6,0.38,0.36,3.0,0.081,30.0,119,0.997,3.2,0.56,9.4,5
SM 055,7.6,0.51,0.15,2.8,0.11,33.0,73,0.9955,3.17,0.63,10.2,6
SM 056,7.7,0.62,0.04,3.8,0.084,25.0,45,0.9978,3.34,0.53,9.5,5
SM 057,10.2,0.42,0.57,3.4,0.07,4.0,10,0.9971,3.04,0.63,9.6,5
SM 058,7.5,0.63,0.12,5.1,0.111,50.0,110,0.9983,3.26,0.77,9.4,5
SM 059,7.8,0.59,0.18,2.3,0.076,17.0,54,0.9975,3.43,0.59,10.0,5
SM 060,7.3,0.39,0.31,2.4,0.074,9.0,46,0.9962,3.41,0.54,9.4,6
SM 061,8.8,0.4,0.4,2.2,0.079,19.0,52,0.998,3.44,0.64,9.2,5
SM 062,7.7,0.69,0.49,1.8,0.115,20.0,112,0.9968,3.21,0.71,9.3,5
SM 063,7.5,0.52,0.16,1.9,0.085,12.0,35,0.9968,3.38,0.62,9.5,7
SM 064,7.0,0.735,0.05,2.0,0.081,13.0,54,0.9966,3.39,0.57,9.8,5
SM 065,7.2,0.725,0.05,4.65,0.086,4.0,11,0.9962,3.41,0.39,10.9,5
SM 066,7.2,0.725,0.05,4.65,0.086,4.0,11,0.9962,3.41,0.39,10.9,5
SM 067,7.5,0.52,0.11,1.5,0.079,11.0,39,0.9968,3.42,0.58,9.6,5
SM 068,6.6,0.705,0.07,1.6,0.076,6.0,15,0.9962,3.44,0.58,10.7,5
SM 069,9.3,0.32,0.57,2.0,0.074,27.0,65,0.9969,3.28,0.79,10.7,5
SM 070,8.0,0.705,0.05,1.9,0.074,8.0,19,0.9962,3.34,0.95,10.5,6
SM 071,7.7,0.63,0.08,1.9,0.076,15.0,27,0.9967,3.32,0.54,9.5,6
SM 072,7.7,0.67,0.23,2.1,0.088,17.0,96,0.9962,3.32,0.48,9.5,5
SM 073,7.7,0.69,0.22,1.9,0.084,18.0,94,0.9961,3.31,0.48,9.5,5
SM 074,8.3,0.675,0.26,2.1,0.084,11.0,43,0.9976,3.31,0.53,9.2,4
SM 075,9.7,0.32,0.54,2.5,0.094,28.0,83,0.9984,3.28,0.82,9.6,5
SM 076,8.8,0.41,0.64,2.2,0.093,9.0,42,0.9986,3.54,0.66,10.5,5
SM 077,8.8,0.41,0.64,2.2,0.093,9.0,42,0.9986,3.54,0.66,10.5,5
SM 078,6.8,0.785,0.0,2.4,0.104,14.0,30,0.9966,3.52,0.55,10.7,6
SM 079,6.7,0.75,0.12,2.0,0.086,12.0,80,0.9958,3.38,0.52,10.1,5
SM 080,8.3,0.625,0.2,1.5,0.08,27.0,119,0.9972,3.16,1.12,9.1,4
SM 081,6.2,0.45,0.2,1.6,0.069,3.0,15,0.9958,3.41,0.56,9.2,5
SM 082,7.8,0.43,0.7,1.9,0.463999999999999,22.0,67,0.9974,3.13,1.28,9.4,5
SM 083,7.4,0.5,0.47,2.0,0.086,21.0,73,0.997,3.36,0.57,9.1,5
SM 084,7.3,0.67,0.26,1.8,0.401,16.0,51,0.9969,3.16,1.14,9.4,5
SM 085,6.3,0.3,0.48,1.8,0.069,18.0,61,0.9959,3.44,0.78,10.3,6
SM 086,6.9,0.55,0.15,2.2,0.076,19.0,40,0.9961,3.41,0.59,10.1,5
SM 087,8.6,0.49,0.28,1.9,0.11,20.0,136,0.9972,2.93,1.95,9.9,6
SM 088,7.7,0.49,0.26,1.9,0.062,9.0,31,0.9966,3.39,0.64,9.6,5
SM 089,9.3,0.39,0.44,2.1,0.107,34.0,125,0.9978,3.14,1.22,9.5,5
SM 090,7.0,0.62,0.08,1.8,0.076,8.0,24,0.9978,3.48,0.53,9.0,5
SM 091,7.9,0.52,0.26,1.9,0.079,42.0,140,0.9964,3.23,0.54,9.5,5
SM 092,8.6,0.49,0.28,1.9,0.11,20.0,136,0.9972,2.93,1.95,9.9,6
SM 093,8.6,0.49,0.29,2.0,0.11,19.0,133,0.9972,2.93,1.98,9.8,5
SM 094,7.7,0.49,0.26,1.9,0.062,9.0,31,0.9966,3.39,0.64,9.6,5
SM 095,5.0,1.02,0.04,1.4,0.045,41.0,85,0.9938,3.75,0.48,10.5,4
SM 096,4.7,0.6,0.17,2.3,0.0579999999999999,17.0,106,0.9932,3.85,0.6,12.9,6
SM 097,6.8,0.775,0.0,3.0,0.102,8.0,23,0.9965,3.45,0.56,10.7,5
SM 098,7.0,0.5,0.25,2.0,0.07,3.0,22,0.9963,3.25,0.63,9.2,5
SM 099,7.6,0.9,0.06,2.5,0.079,5.0,10,0.9967,3.39,0.56,9.8,5
SM 100,8.1,0.545,0.18,1.9,0.08,13.0,35,0.9972,3.3,0.59,9.0,6
SM 101,8.3,0.61,0.3,2.1,0.084,11.0,50,0.9972,3.4,0.61,10.2,6
SM 102,7.8,0.5,0.3,1.9,0.075,8.0,22,0.9959,3.31,0.56,10.4,6
SM 103,8.1,0.545,0.18,1.9,0.08,13.0,35,0.9972,3.3,0.59,9.0,6
SM 104,8.1,0.575,0.22,2.1,0.077,12.0,65,0.9967,3.29,0.51,9.2,5
SM 105,7.2,0.49,0.24,2.2,0.07,5.0,36,0.996,3.33,0.48,9.4,5
SM 106,8.1,0.575,0.22,2.1,0.077,12.0,65,0.9967,3.29,0.51,9.2,5
SM 107,7.8,0.41,0.68,1.7,0.467,18.0,69,0.9973,3.08,1.31,9.3,5
SM 108,6.2,0.63,0.31,1.7,0.088,15.0,64,0.9969,3.46,0.79,9.3,5
SM 109,8.0,0.33,0.53,2.5,0.091,18.0,80,0.9976,3.37,0.8,9.6,6
SM 110,8.1,0.785,0.52,2.0,0.122,37.0,153,0.9969,3.21,0.69,9.3,5
SM 111,7.8,0.56,0.19,1.8,0.104,12.0,47,0.9964,3.19,0.93,9.5,5
SM 112,8.4,0.62,0.09,2.2,0.084,11.0,108,0.9964,3.15,0.66,9.8,5
SM 113,8.4,0.6,0.1,2.2,0.085,14.0,111,0.9964,3.15,0.66,9.8,5
SM 114,10.1,0.31,0.44,2.3,0.08,22.0,46,0.9988,3.32,0.67,9.7,6
SM 115,7.8,0.56,0.19,1.8,0.104,12.0,47,0.9964,3.19,0.93,9.5,5
SM 116,9.4,0.4,0.31,2.2,0.09,13.0,62,0.9966,3.07,0.63,10.5,6
SM 117,8.3,0.54,0.28,1.9,0.077,11.0,40,0.9978,3.39,0.61,10.0,6
SM 118,7.8,0.56,0.12,2.0,0.0819999999999999,7.0,28,0.997,3.37,0.5,9.4,6
SM 119,8.8,0.55,0.04,2.2,0.119,14.0,56,0.9962,3.21,0.6,10.9,6
SM 120,7.0,0.69,0.08,1.8,0.0969999999999999,22.0,89,0.9959,3.34,0.54,9.2,6
SM 121,7.3,1.07,0.09,1.7,0.178,10.0,89,0.9962,3.3,0.57,9.0,5
SM 122,8.8,0.55,0.04,2.2,0.119,14.0,56,0.9962,3.21,0.6,10.9,6
SM 123,7.3,0.695,0.0,2.5,0.075,3.0,13,0.998,3.49,0.52,9.2,5
SM 124,8.0,0.71,0.0,2.6,0.08,11.0,34,0.9976,3.44,0.53,9.5,5
SM 125,7.8,0.5,0.17,1.6,0.0819999999999999,21.0,102,0.996,3.39,0.48,9.5,5
SM 126,9.0,0.62,0.04,1.9,0.146,27.0,90,0.9984,3.16,0.7,9.4,5
SM 127,8.2,1.33,0.0,1.7,0.081,3.0,12,0.9964,3.53,0.49,10.9,5
SM 128,8.1,1.33,0.0,1.8,0.0819999999999999,3.0,12,0.9964,3.54,0.48,10.9,5
SM 129,8.0,0.59,0.16,1.8,0.065,3.0,16,0.9962,3.42,0.92,10.5,7
SM 130,6.1,0.38,0.15,1.8,0.072,6.0,19,0.9955,3.42,0.57,9.4,5
SM 131,8.0,0.745,0.56,2.0,0.118,30.0,134,0.9968,3.24,0.66,9.4,5
SM 132,5.6,0.5,0.09,2.3,0.049,17.0,99,0.9937,3.63,0.63,13.0,5
SM 133,5.6,0.5,0.09,2.3,0.049,17.0,99,0.9937,3.63,0.63,13.0,5
SM 134,6.6,0.5,0.01,1.5,0.06,17.0,26,0.9952,3.4,0.58,9.8,6
SM 135,7.9,1.04,0.05,2.2,0.084,13.0,29,0.9959,3.22,0.55,9.9,6
SM 136,8.4,0.745,0.11,1.9,0.09,16.0,63,0.9965,3.19,0.82,9.6,5
SM 137,8.3,0.715,0.15,1.8,0.089,10.0,52,0.9968,3.23,0.77,9.5,5
SM 138,7.2,0.415,0.36,2.0,0.081,13.0,45,0.9972,3.48,0.64,9.2,5
SM 139,7.8,0.56,0.19,2.1,0.081,15.0,105,0.9962,3.33,0.54,9.5,5
SM 140,7.8,0.56,0.19,2.0,0.081,17.0,108,0.9962,3.32,0.54,9.5,5
SM 141,8.4,0.745,0.11,1.9,0.09,16.0,63,0.9965,3.19,0.82,9.6,5
SM 142,8.3,0.715,0.15,1.8,0.089,10.0,52,0.9968,3.23,0.77,9.5,5
SM 143,5.2,0.34,0.0,1.8,0.05,27.0,63,0.9916,3.68,0.79,14.0,6
SM 144,6.3,0.39,0.08,1.7,0.066,3.0,20,0.9954,3.34,0.58,9.4,5
SM 145,5.2,0.34,0.0,1.8,0.05,27.0,63,0.9916,3.68,0.79,14.0,6
SM 146,8.1,0.67,0.55,1.8,0.116999999999999,32.0,141,0.9968,3.17,0.62,9.4,5
SM 147,5.8,0.68,0.02,1.8,0.087,21.0,94,0.9944,3.54,0.52,10.0,5
SM 148,7.6,0.49,0.26,1.6,0.236,10.0,88,0.9968,3.11,0.8,9.3,5
SM 149,6.9,0.49,0.1,2.3,0.074,12.0,30,0.9959,3.42,0.58,10.2,6
SM 150,8.2,0.4,0.44,2.8,0.089,11.0,43,0.9975,3.53,0.61,10.5,6
SM 151,7.3,0.33,0.47,2.1,0.077,5.0,11,0.9958,3.33,0.53,10.3,6
SM 152,9.2,0.52,1.0,3.4,0.61,32.0,69,0.9996,2.74,2.0,9.4,4
SM 153,7.5,0.6,0.03,1.8,0.095,25.0,99,0.995,3.35,0.54,10.1,5
SM 154,7.5,0.6,0.03,1.8,0.095,25.0,99,0.995,3.35,0.54,10.1,5
SM 155,7.1,0.43,0.42,5.5,0.07,29.0,129,0.9973,3.42,0.72,10.5,5
SM 156,7.1,0.43,0.42,5.5,0.071,28.0,128,0.9973,3.42,0.71,10.5,5
SM 157,7.1,0.43,0.42,5.5,0.07,29.0,129,0.9973,3.42,0.72,10.5,5
SM 158,7.1,0.43,0.42,5.5,0.071,28.0,128,0.9973,3.42,0.71,10.5,5
SM 159,7.1,0.68,0.0,2.2,0.073,12.0,22,0.9969,3.48,0.5,9.3,5
SM 160,6.8,0.6,0.18,1.9,0.079,18.0,86,0.9968,3.59,0.57,9.3,6
SM 161,7.6,0.95,0.03,2.0,0.09,7.0,20,0.9959,3.2,0.56,9.6,5
SM 162,7.6,0.68,0.02,1.3,0.072,9.0,20,0.9965,3.17,1.08,9.2,4
SM 163,7.8,0.53,0.04,1.7,0.076,17.0,31,0.9964,3.33,0.56,10.0,6
SM 164,7.4,0.6,0.26,7.3,0.07,36.0,121,0.9982,3.37,0.49,9.4,5
SM 165,7.3,0.59,0.26,7.2,0.07,35.0,121,0.9981,3.37,0.49,9.4,5
SM 166,7.8,0.63,0.48,1.7,0.1,14.0,96,0.9961,3.19,0.62,9.5,5
SM 167,6.8,0.64,0.1,2.1,0.085,18.0,101,0.9956,3.34,0.52,10.2,5
SM 168,7.3,0.55,0.03,1.6,0.072,17.0,42,0.9956,3.37,0.48,9.0,4
SM 169,6.8,0.63,0.07,2.1,0.089,11.0,44,0.9953,3.47,0.55,10.4,6
SM 170,7.5,0.705,0.24,1.8,0.36,15.0,63,0.9964,3.0,1.59,9.5,5
SM 171,7.9,0.885,0.03,1.8,0.0579999999999999,4.0,8,0.9972,3.36,0.33,9.1,4
SM 172,8.0,0.42,0.17,2.0,0.073,6.0,18,0.9972,3.29,0.61,9.2,6
SM 173,8.0,0.42,0.17,2.0,0.073,6.0,18,0.9972,3.29,0.61,9.2,6
SM 174,7.4,0.62,0.05,1.9,0.068,24.0,42,0.9961,3.42,0.57,11.5,6
SM 175,7.3,0.38,0.21,2.0,0.08,7.0,35,0.9961,3.33,0.47,9.5,5
SM 176,6.9,0.5,0.04,1.5,0.085,19.0,49,0.9958,3.35,0.78,9.5,5
SM 177,7.3,0.38,0.21,2.0,0.08,7.0,35,0.9961,3.33,0.47,9.5,5
SM 178,7.5,0.52,0.42,2.3,0.087,8.0,38,0.9972,3.58,0.61,10.5,6
SM 179,7.0,0.805,0.0,2.5,0.068,7.0,20,0.9969,3.48,0.56,9.6,5
SM 180,8.8,0.61,0.14,2.4,0.067,10.0,42,0.9969,3.19,0.59,9.5,5
SM 181,8.8,0.61,0.14,2.4,0.067,10.0,42,0.9969,3.19,0.59,9.5,5
SM 182,8.9,0.61,0.49,2.0,0.27,23.0,110,0.9972,3.12,1.02,9.3,5
SM 183,7.2,0.73,0.02,2.5,0.076,16.0,42,0.9972,3.44,0.52,9.3,5
SM 184,6.8,0.61,0.2,1.8,0.077,11.0,65,0.9971,3.54,0.58,9.3,5
SM 185,6.7,0.62,0.21,1.9,0.079,8.0,62,0.997,3.52,0.58,9.3,6
SM 186,8.9,0.31,0.57,2.0,0.111,26.0,85,0.9971,3.26,0.53,9.7,5
SM 187,7.4,0.39,0.48,2.0,0.0819999999999999,14.0,67,0.9972,3.34,0.55,9.2,5
SM 188,7.7,0.705,0.1,2.6,0.084,9.0,26,0.9976,3.39,0.49,9.7,5
SM 189,7.9,0.5,0.33,2.0,0.084,15.0,143,0.9968,3.2,0.55,9.5,5
SM 190,7.9,0.49,0.32,1.9,0.0819999999999999,17.0,144,0.9968,3.2,0.55,9.5,5
SM 191,8.2,0.5,0.35,2.9,0.077,21.0,127,0.9976,3.23,0.62,9.4,5
SM 192,6.4,0.37,0.25,1.9,0.074,21.0,49,0.9974,3.57,0.62,9.8,6
SM 193,6.8,0.63,0.12,3.8,0.099,16.0,126,0.9969,3.28,0.61,9.5,5
SM 194,7.6,0.55,0.21,2.2,0.071,7.0,28,0.9964,3.28,0.55,9.7,5
SM 195,7.6,0.55,0.21,2.2,0.071,7.0,28,0.9964,3.28,0.55,9.7,5
SM 196,7.8,0.59,0.33,2.0,0.074,24.0,120,0.9968,3.25,0.54,9.4,5
SM 197,7.3,0.58,0.3,2.4,0.074,15.0,55,0.9968,3.46,0.59,10.2,5
SM 198,11.5,0.3,0.6,2.0,0.067,12.0,27,0.9981,3.11,0.97,10.1,6
SM 199,5.4,0.835,0.08,1.2,0.046,13.0,93,0.9924,3.57,0.85,13.0,7
SM 200,6.9,1.09,0.06,2.1,0.061,12.0,31,0.9948,3.51,0.43,11.4,4
SM 201,9.6,0.32,0.47,1.4,0.0559999999999999,9.0,24,0.99695,3.22,0.82,10.3,7
SM 202,8.8,0.37,0.48,2.1,0.0969999999999999,39.0,145,0.9975,3.04,1.03,9.3,5
SM 203,6.8,0.5,0.11,1.5,0.075,16.0,49,0.99545,3.36,0.79,9.5,5
SM 204,7.0,0.42,0.35,1.6,0.088,16.0,39,0.9961,3.34,0.55,9.2,5
SM 205,7.0,0.43,0.36,1.6,0.089,14.0,37,0.99615,3.34,0.56,9.2,6
SM 206,12.8,0.3,0.74,2.6,0.095,9.0,28,0.9994,3.2,0.77,10.8,7
SM 207,12.8,0.3,0.74,2.6,0.095,9.0,28,0.9994,3.2,0.77,10.8,7
SM 208,7.8,0.57,0.31,1.8,0.069,26.0,120,0.99625,3.29,0.53,9.3,5
SM 209,7.8,0.44,0.28,2.7,0.1,18.0,95,0.9966,3.22,0.67,9.4,5
SM 210,11.0,0.3,0.58,2.1,0.054,7.0,19,0.998,3.31,0.88,10.5,7
SM 211,9.7,0.53,0.6,2.0,0.039,5.0,19,0.99585,3.3,0.86,12.4,6
SM 212,8.0,0.725,0.24,2.8,0.083,10.0,62,0.99685,3.35,0.56,10.0,6
SM 213,11.6,0.44,0.64,2.1,0.059,5.0,15,0.998,3.21,0.67,10.2,6
SM 214,8.2,0.57,0.26,2.2,0.06,28.0,65,0.9959,3.3,0.43,10.1,5
SM 215,7.8,0.735,0.08,2.4,0.092,10.0,41,0.9974,3.24,0.71,9.8,6
SM 216,7.0,0.49,0.49,5.6,0.06,26.0,121,0.9974,3.34,0.76,10.5,5
SM 217,8.7,0.625,0.16,2.0,0.100999999999999,13.0,49,0.9962,3.14,0.57,11.0,5
SM 218,8.1,0.725,0.22,2.2,0.072,11.0,41,0.9967,3.36,0.55,9.1,5
SM 219,7.5,0.49,0.19,1.9,0.076,10.0,44,0.9957,3.39,0.54,9.7,5
SM 220,7.8,0.53,0.33,2.4,0.08,24.0,144,0.99655,3.3,0.6,9.5,5
SM 221,7.8,0.34,0.37,2.0,0.0819999999999999,24.0,58,0.9964,3.34,0.59,9.4,6
SM 222,7.4,0.53,0.26,2.0,0.100999999999999,16.0,72,0.9957,3.15,0.57,9.4,5
SM 223,6.8,0.61,0.04,1.5,0.057,5.0,10,0.99525,3.42,0.6,9.5,5
SM 224,8.6,0.645,0.25,2.0,0.083,8.0,28,0.99815,3.28,0.6,10.0,6
SM 225,8.4,0.635,0.36,2.0,0.089,15.0,55,0.99745,3.31,0.57,10.4,4
SM 226,7.7,0.43,0.25,2.6,0.073,29.0,63,0.99615,3.37,0.58,10.5,6
SM 227,8.9,0.59,0.5,2.0,0.337,27.0,81,0.9964,3.04,1.61,9.5,6
SM 228,9.0,0.82,0.14,2.6,0.089,9.0,23,0.9984,3.39,0.63,9.8,5
SM 229,7.7,0.43,0.25,2.6,0.073,29.0,63,0.99615,3.37,0.58,10.5,6
SM 230,6.9,0.52,0.25,2.6,0.081,10.0,37,0.99685,3.46,0.5,11.0,5
SM 231,5.2,0.48,0.04,1.6,0.054,19.0,106,0.9927,3.54,0.62,12.2,7
SM 232,8.0,0.38,0.06,1.8,0.078,12.0,49,0.99625,3.37,0.52,9.9,6
SM 233,8.5,0.37,0.2,2.8,0.09,18.0,58,0.998,3.34,0.7,9.6,6
SM 234,6.9,0.52,0.25,2.6,0.081,10.0,37,0.99685,3.46,0.5,11.0,5
SM 235,8.2,1.0,0.09,2.3,0.065,7.0,37,0.99685,3.32,0.55,9.0,6
SM 236,7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38,0.99675,3.37,0.58,9.0,6
SM 237,7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38,0.99675,3.37,0.58,9.0,6
SM 238,7.2,0.645,0.0,1.9,0.0969999999999999,15.0,39,0.99675,3.37,0.58,9.2,6
SM 239,7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38,0.99675,3.37,0.58,9.0,6
SM 240,8.2,1.0,0.09,2.3,0.065,7.0,37,0.99685,3.32,0.55,9.0,6
SM 241,8.9,0.635,0.37,1.7,0.263,5.0,62,0.9971,3.0,1.09,9.3,5
SM 242,12.0,0.38,0.56,2.1,0.093,6.0,24,0.99925,3.14,0.71,10.9,6
SM 243,7.7,0.58,0.1,1.8,0.102,28.0,109,0.99565,3.08,0.49,9.8,6
SM 244,15.0,0.21,0.44,2.2,0.075,10.0,24,1.00005,3.07,0.84,9.2,7
SM 245,15.0,0.21,0.44,2.2,0.075,10.0,24,1.00005,3.07,0.84,9.2,7
SM 246,7.3,0.66,0.0,2.0,0.084,6.0,23,0.9983,3.61,0.96,9.9,6
SM 247,7.1,0.68,0.07,1.9,0.075,16.0,51,0.99685,3.38,0.52,9.5,5
SM 248,8.2,0.6,0.17,2.3,0.072,11.0,73,0.9963,3.2,0.45,9.3,5
